timestamps population node_ids
53121.90000084826 LUT_TOY 0
53097.800000846866 LUT_TOY 0
53043.300000843694 LUT_TOY 0
53000.5000008412 LUT_TOY 0
52899.40000083531 LUT_TOY 0
52792.100000829065 LUT_TOY 0
52619.70000081903 LUT_TOY 0
52588.60000081722 LUT_TOY 0
52492.80000081164 LUT_TOY 0
53143.40000084951 LUT_TOY 0
54386.000000921835 LUT_TOY 0
54515.00000092934 LUT_TOY 0
54538.90000093074 LUT_TOY 0
56439.30000104137 LUT_TOY 0
56429.800001040814 LUT_TOY 0
56385.300001038224 LUT_TOY 0
56158.40000102501 LUT_TOY 0
56139.00000102388 LUT_TOY 0
56027.6000010174 LUT_TOY 0
56000.60000101582 LUT_TOY 0
55990.20000101521 LUT_TOY 0
55969.200001014004 LUT_TOY 0
55929.000001011664 LUT_TOY 0
55868.900001008165 LUT_TOY 0
55744.40000100091 LUT_TOY 0
55670.00000099658 LUT_TOY 0
55425.30000098234 LUT_TOY 0
55393.00000098046 LUT_TOY 0
55231.800000971074 LUT_TOY 0
55172.1000009676 LUT_TOY 0
55000.50000095762 LUT_TOY 0
54985.300000956726 LUT_TOY 0
54937.60000095394 LUT_TOY 0
54895.90000095152 LUT_TOY 0
54869.40000094998 LUT_TOY 0
54548.30000093129 LUT_TOY 0
52065.900000786794 LUT_TOY 0
60357.00000126941 LUT_TOY 0
34679.79999977478 LUT_TOY 0
34319.49999975382 LUT_TOY 0
14514.399999929134 LUT_TOY 0
14319.599999931968 LUT_TOY 0
13998.999999936634 LUT_TOY 0
13736.79999994045 LUT_TOY 0
13595.19999994251 LUT_TOY 0
13505.399999943817 LUT_TOY 0
13378.299999945666 LUT_TOY 0
13000.499999951164 LUT_TOY 0
12845.199999953424 LUT_TOY 0
12590.299999957131 LUT_TOY 0
14603.699999927834 LUT_TOY 0
12457.89999995906 LUT_TOY 0
12403.799999959849 LUT_TOY 0
12048.799999965013 LUT_TOY 0
12000.499999965716 LUT_TOY 0
11945.999999966509 LUT_TOY 0
11460.699999973569 LUT_TOY 0
11331.099999975457 LUT_TOY 0
11305.299999975832 LUT_TOY 0
11287.799999976089 LUT_TOY 0
11111.199999978655 LUT_TOY 0
11026.199999979895 LUT_TOY 0
12414.099999959695 LUT_TOY 0
11000.49999998027 LUT_TOY 0
14626.399999927506 LUT_TOY 0
15000.49999992206 LUT_TOY 0
17426.29999988676 LUT_TOY 0
17378.29999988746 LUT_TOY 0
17099.699999891513 LUT_TOY 0
17058.59999989211 LUT_TOY 0
17000.499999892956 LUT_TOY 0
16808.099999895756 LUT_TOY 0
16537.299999899697 LUT_TOY 0
16523.89999989989 LUT_TOY 0
16371.799999902105 LUT_TOY 0
16344.999999902495 LUT_TOY 0
14681.7999999267 LUT_TOY 0
16244.099999903965 LUT_TOY 0
16214.399999904397 LUT_TOY 0
16049.699999906792 LUT_TOY 0
16036.899999906978 LUT_TOY 0
16000.499999907508 LUT_TOY 0
15494.699999914868 LUT_TOY 0
15274.199999918075 LUT_TOY 0
15234.599999918652 LUT_TOY 0
15189.399999919311 LUT_TOY 0
15179.499999919455 LUT_TOY 0
15104.399999920546 LUT_TOY 0
16228.099999904196 LUT_TOY 0
10755.399999983834 LUT_TOY 0
10220.899999991612 LUT_TOY 0
10000.499999994821 LUT_TOY 0
5546.0000000115115 LUT_TOY 0
5497.000000011331 LUT_TOY 0
5487.500000011299 LUT_TOY 0
5457.100000011187 LUT_TOY 0
5000.500000009526 LUT_TOY 0
4859.500000009013 LUT_TOY 0
4783.300000008736 LUT_TOY 0
4334.9000000071055 LUT_TOY 0
4236.800000006748 LUT_TOY 0
4000.500000005888 LUT_TOY 0
5650.800000011892 LUT_TOY 0
3729.900000004904 LUT_TOY 0
3371.100000003599 LUT_TOY 0
3284.7000000032845 LUT_TOY 0
3175.1000000028853 LUT_TOY 0
3000.5000000022496 LUT_TOY 0
2935.700000002015 LUT_TOY 0
2915.7000000019416 LUT_TOY 0
2894.0000000018626 LUT_TOY 0
2060.8999999988323 LUT_TOY 0
